Processed 365, Round: 0, Time: 11.18s
Processed 630, Round: 0, Time: 21.16s
Processed 365, Round: 1, Time: 11.19s
Processed 815, Round: 0, Time: 22.48s
Processed 90, Round: 0, Time: 25.31s
Processed 365, Round: 2, Time: 11.16s
Processed 338, Round: 0, Time: 35.01s
Processed 154, Round: 0, Time: 41.77s
Processed 630, Round: 1, Time: 21.15s
Processed 365, Round: 3, Time: 11.17s
Processed 815, Round: 1, Time: 22.48s
Processed 90, Round: 1, Time: 25.30s
Processed 919, Round: 0, Time: 53.19s
Processed 365, Round: 4, Time: 11.18s
Processed 630, Round: 2, Time: 21.13s
Processed 365, Round: 5, Time: 11.18s
Processed 815, Round: 2, Time: 22.48s
Processed 338, Round: 1, Time: 35.03s
Processed 930, Round: 0, Time: 74.48s
Processed 90, Round: 2, Time: 25.31s
Processed 365, Round: 6, Time: 11.16s
Processed 154, Round: 1, Time: 41.76s
Processed 630, Round: 3, Time: 21.15s
Processed 113, Round: 0, Time: 86.07s
Processed 365, Round: 7, Time: 11.16s
Processed 815, Round: 3, Time: 22.48s
Processed 361, Round: 0, Time: 92.21s
Processed 365, Round: 8, Time: 11.17s
Processed 90, Round: 3, Time: 25.29s
Processed 338, Round: 2, Time: 35.03s
Processed 630, Round: 4, Time: 21.15s
Processed 919, Round: 1, Time: 53.20s
Processed 365, Round: 9, Time: 11.16s
Processed 815, Round: 4, Time: 22.48s
Processed 702, Round: 0, Time: 116.83s
Processed 365, Round: 10, Time: 11.18s
Processed 154, Round: 2, Time: 41.76s
Processed 90, Round: 4, Time: 25.29s
Processed 630, Round: 5, Time: 21.15s
Processed 393, Round: 0, Time: 133.33s
Processed 365, Round: 11, Time: 11.18s
Processed 815, Round: 5, Time: 22.48s
Processed 338, Round: 3, Time: 35.01s
Processed 365, Round: 12, Time: 11.18s
Processed 630, Round: 6, Time: 21.14s
Processed 930, Round: 1, Time: 74.48s
Processed 90, Round: 5, Time: 25.30s
Processed 365, Round: 13, Time: 11.18s
Processed 815, Round: 6, Time: 22.48s
Processed 919, Round: 2, Time: 53.20s
Processed 154, Round: 3, Time: 41.76s
Processed 365, Round: 14, Time: 11.18s
Processed 630, Round: 7, Time: 21.14s
Processed 113, Round: 1, Time: 86.06s
Processed 250, Round: 0, Time: 172.98s
Processed 338, Round: 4, Time: 35.03s
Processed 90, Round: 6, Time: 25.29s
Processed 513, Round: 0, Time: 177.20s
